"OBÈINE","SKD DEJAVNOST","2021 (zaèasni podatki)"
"Cerklje na Gorenjskem","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Cerklje na Gorenjskem","U Dejavnost eksteritorialnih organizacij in teles",0
"Cerklje na Gorenjskem","X Neznano",521514
"Cerknica","SKD Dejavnost - SKUPAJ",34442866
"Cerknica","A Kmetijstvo in lov, gozdarstvo, ribištvo",10023
"Cerknica","B Rudarstvo",43353
"Cerknica","C Predelovalne dejavnosti",24417222
"Cerknica","D Oskrba z elektrièno energijo, plinom in paro",157826
"Cerknica","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",2489990
"Cerknica","F Gradbeništvo",399581
"Cerknica","G Trgovina, vzdrževanje in popravila motornih vozil",3017095
"Cerknica","H Promet in skladišèenje",119074
"Cerknica","I Gostinstvo",564460
"Cerknica","J Informacijske in komunikacijske dejavnosti",537144
"Cerknica","K Finanène in zavarovalniške dejavnosti",109044
